Key,Source,Context,Changes,English,French,German,Klingon,Spanish
quest,,Category,KgNone,クエスト,Quest,Quest,,Misión
challenge,,Category,KgNone,Challenge,Défi,Herausforderung,,Desafío
treasure,,Category,KgNone,Treasure,Trésor,Schatz,,Tesoros
bonus,,Category,KgNone,Bonus,Bonus,Bonus,,Bonos
questChain,,Category,KgNone,派生クエスト,Quest Chain,Questserie,,Cadena de misiones
difficulty_veryeasy,,Difficulty,KgNone,超簡単,Very Easy,Sehr einfach,,Muy fácil
difficulty_easy,,Difficulty,KgNone,簡単,Easy,Einfach,,Fácil
difficulty_medium,,Difficulty,KgNone,普通,Medium,Mittel,,Medio
difficulty_hard,,Difficulty,KgNone,難しい,Hard,Schwierig,,Difícil
difficulty_insane,,Difficulty,KgNone,非常識,Insane,Irre,,Demente
started,,Keywords,KgNone,Started,En cours,Begonnen,,Empezada
completed,,Keywords,KgNone,Completed,Terminée,Abgeschlossen,,Completada
failed,,Keywords,KgNone,Failed,Échec,Fehlgeschlagen,,Fallida
optional,,Keywords,KgNone,Optional,Facultative,Optional,,Opcional
RewardTypeQuest,,Keywords,KgNone,報酬,Reward,Belohnung,,Recompensa
RewardTypeChainQuest,,Keywords,KgNone,派生報酬,Chain Reward,Serienbelohnung,,Cadena de recompensas
ObjectiveAnimalKill_keyword,,Keywords,KgNone,Kill,Tuer,Töten,,Mata
ObjectiveAssemble_keyword,,Keywords,KgNone,Assemble,Assembler,Zusammensetzen,,Ensambla
ObjectiveBlockPickup_keyword,,Keywords,KgNone,Pickup,Ramasser,Aufheben,,Recoge
ObjectiveBlockPlace_keyword,,Keywords,KgNone,設置,Place,platziert,,Coloca
ObjectiveBlockUpgrade_keyword,,Keywords,KgNone,Upgrade,Améliorer,aufgewertet,,Mejora
ObjectiveBuff_keyword,,Keywords,KgNone,Get,Obtenir,Erhalten,,Consigue
ObjectiveCraft_keyword,,Keywords,KgNone,作る,Craft,gefertigt,,Fabrica
ObjectiveFetch_keyword,,Keywords,KgNone,集める,Gather,gesammelt,,Reúne
ObjectiveGoto_keyword,,Keywords,KgNone,Locate {0},Trouver {0},Finde {0},,Ubicar {0}
ObjectiveExchangeItemFrom_keyword,,Keywords,KgNone,Fill,Remplir,Füllen,,Llena
ObjectiveOpenWindow_keyword,,Keywords,KgNone,Open {0} Window,Ouvrir la fenêtre {0},Öffne {0}-Fenster,,Abre {0} ventana(s)
ObjectiveRepair_keyword,,Keywords,KgNone,修理,Repair,Reparieren,,Repara
ObjectiveScrap_keyword,,Keywords,KgNone,Scrap,Recycler,Zerlegen,,Desguaza
ObjectiveSpendSkillPoints_keyword,,Keywords,KgNone,Purchase {0} Skill Level(s),Acheter {0} niveau(x) de compétence,Kaufe {0} Fertigkeitslevel(s),,Compra {0} nivel(es) de habilidad
ObjectiveTime_keyword,,Keywords,KgNone,Time,Durée,Zeit,,Tiempo
ObjectiveTreasureChest_keyword,,Keywords,KgNone,Treasure Found,Trésor trouvé,Schatz gefunden,,Tesoro encontrado
ObjectiveWear_keyword,,Keywords,KgNone,着る,Wear,getragen,,Vestir
ObjectiveZombieKill_keyword,,Keywords,KgNone,Kill,Tuer,Töten,,Mata
RequirementBuff_keyword,,Keywords,KgNone,Effect,Effet,Effekt,,Efecto
RequirementHolding_keyword,,Keywords,KgNone,Using,Avec,Unter Verwendung von,,En uso
RequirementLevel_keyword,,Keywords,KgNone,Level,Niveau,Level,,Nivel
RequirementWearing_keyword,,Keywords,KgNone,着る,Wear,Tragen,,Vestir
RewardExp_keyword,,Keywords,KgNone,EXP,EXP,ERF,,EXP
RewardLevel_keyword,,Keywords,KgNone,Level,Niveau,Level,,Nivel
RewardQuest_keyword,,Keywords,KgNone,新クエスト,New Quest,Neue Quest,,Nueva misión
RewardRecipe_keyword,,Keywords,KgNone,Recipe Unlocked,Composition déverrouillée,Rezept freigeschaltet,,Receta desbloqueada
RewardSkill_keyword,,Keywords,KgNone,Skill,Compétence,Fertigkeit,,Habilidad
RewardSkillPoint_keyword,,Keywords,KgNone,スキルポイント,Skill Point,Fertigkeitspunkt,,Punto de habilidad
requirementGroupFireaxe,,Requirement Group,KgNone,Holding Fire Axe,Tenir une hache de pompier,Feueraxt halten,,Sostener un hacha de incendio
requirementGroupShotgun,,Requirement Group,KgNone,Holding Shotgun,Tenir un fusil à pompe,Schrotflinte halten,,Sostener una escopeta
tutorialTipQuest01,,Popup Tip,KgNone,親愛なる友人へ、\n\n荒廃したこの地は容赦ない場所へと変貌することがあります。でもあなたにはここで幾つかの働きができるように見えます。ここに生き残る術を書き記した手引きをしたためてあります。もしそれをこなすことができたら、私たちはあなたを新しい住人として迎え入れてもよいでしょう。入植地であるホワイトリバーは実在し、そして安全な場所です。\n\n幸運を、ノアより。,"Dear Friend,\n\nThe wasteland can be an unforgiving place, and you look like you could use some help. Enclosed is a short guide to help you survive. If you complete it, we just might take in a new citizen. The White River Settlement, it's real and it's safe.\n\nGood Luck, Noah","Lieber Freund!\n\nDas Ödland kann gnadenlos sein und du siehst aus, als könntest du etwas Hilfe gebrauchen. Anbei findest du eine kurze Anleitung, die dir beim Überleben hilft. Wenn du sie abschließt, nehmen wir vielleicht einen neuen Bürger auf. Die Siedlung von White River gibt es wirklich und sie ist sicher.\n\nViel Glück! Noah",,"Querido/a amigo/a:\n\nEl páramo puede ser un sitio peligroso y parece que necesitas una mano. Encontrarás una pequeña guía adjunta para ayudarte a sobrevivir. Si la completas, puede que te aceptemos como un nuevo ciudadano. El asentamiento Río Blanco es real y seguro.\n\nBuena suerte, Noah."
tutorialTipQuest02,,Popup Tip,KgNone,生き抜くための基本は、飽くなき探求です。クエストの状況は、画面右上で確認できます。クエストのさらに詳しい情報については、インベントリのクエストメニューにあります。,"Basic Survival is your active quest. The quest's status is displayed on the Objective Tracker in the top right of the screen. For more information on quests, access your Inventory and navigate to the Quests menu.","„Das 1x1 des Überlebens“ ist deine aktive Quest. Der Status der Quest ist oben rechts über den Ziel-Tracker einsehbar. Öffne dein Inventar und dann das Quest-Menü, um mehr über Quests zu erfahren.",,"Tu misión activa es supervivencia básica. El estado de la misión se muestra en el indicador de objetivos, en la parte superior derecha de la pantalla. Accede a tu inventario y navega por el menú misiones para obtener más información sobre éstas."
skillPointTip,,Popup Tip,EnChanged,スキルポイントを獲得しました。スキルポイントは、インベントリのスキルメニューで欲しいスキルかパークを購入するのに使います。,"You have earned Skill Points. Spend them by accessing your Inventory and navigating to the Skills menu, then highlight the desired Skill or Perk and purchase it.","Du hast Fertigkeitspunkte erhalten. Nutze sie, indem du von deinem Inventar aus das Fertigkeiten-Menü aufsuchst, die gewünschte Fertigkeit oder Eigenschaft markierst und dann kaufst.",,"Ganaste un Punto de habilidad por completar la misión Supervivencia básica. Para gastarlo, accede a tu Inventario y navega al menú de Habilidades. Luego, selecciona la habilidad o beneficio deseado y cómpralo."
quest_BasicSurvival,,Quest Info,KgNone,生き抜くための基本,Basic Survival,Das 1x1 des Überlebens,,Supervivencia básica
quest_BasicSurvival1,,Quest Info,Reordered,生き抜くための基本 1/8,Basic Survival 1/8,Das 1x1 des Überlebens 1/8,,Supervivencia básica 1/8
quest_BasicSurvival1_subtitle,,Quest Info,Reordered,寝袋を作る,Craft a Bedroll,Fertige einen Schlafsack,,Fabrica un saco de dormir.
