Key,Source,Context,Max Line Width,English,Francais,German
adobeGroupDesc,blocks,Block,,砂漠では日干しレンガ（Adobe）グループが簡単に作れます。特別なツールを必要としません。,,In desert regions adobe is easy to make and it requires no special tools.
adobePeachBlock,blocks,Block,,日干しﾚﾝｶﾞﾋﾟｰﾁ,,Adobe Peach Block
adobePeachCNRFull,blocks,Block,,日干しﾋﾟｰﾁ外ｺｰﾅｰ,,Adobe Peach Full Corner
adobePeachCNRInside,blocks,Block,,日干しﾋﾟｰﾁ内ｺｰﾅｰ,,Adobe Peach Inside Corner
adobePeachCNRRamp,blocks,Block,,日干しﾋﾟｰﾁ斜めｺｰﾅｰ,,Adobe Peach Ramp Corner
adobePeachPillar100,blocks,Block,,日干しﾋﾟｰﾁ円柱 100,,Adobe Peach Pillar 100
adobePeachPillar50,blocks,Block,,日干しﾋﾟｰﾁ円柱 50,,Adobe Peach Pillar 50
adobePeachPlate,blocks,Block,,日干しﾋﾟｰﾁ厚板,,Adobe Peach Plate
adobePeachPole,blocks,Block,,日干しﾋﾟｰﾁ細柱,,Adobe Peach Pole
adobePeachRamp,blocks,Block,,日干しﾋﾟｰﾁ斜め,,Adobe Peach Ramp
adobePeachWedge,blocks,Block,,日干しﾋﾟｰﾁｳｪｯｼﾞ,,Adobe Peach Wedge
adobePeachWedgeTip,blocks,Block,,日干しﾋﾟｰﾁｳｪｯｼﾞ先端,,Adobe Peach Wedge Tip
adobeWhiteBlock,blocks,Block,,日干しﾚﾝｶﾞﾎﾜｲﾄ,,Adobe White Block
adobeWhiteCNRFull,blocks,Block,,日干しﾚﾝｶﾞﾎﾜｲﾄ外ｺｰﾅｰ,,Adobe White Full Corner
adobeWhiteCNRInside,blocks,Block,,日干しﾎﾜｲﾄ内ｺｰﾅｰ,,Adobe White Inside Corner
adobeWhiteCNRRamp,blocks,Block,,日干しﾎﾜｲﾄ斜めｺｰﾅｰ,,Adobe White Ramp Corner
adobeWhitePillar100,blocks,Block,,日干しﾎﾜｲﾄ円柱 100,,Adobe White Pillar 100
adobeWhitePillar50,blocks,Block,,日干しﾎﾜｲﾄ円柱 50,,Adobe White Pillar 50
adobeWhitePlate,blocks,Block,,日干しﾎﾜｲﾄ厚板,,Adobe White Plate
adobeWhitePole,blocks,Block,,日干しﾎﾜｲﾄ細柱,,Adobe White Pole
adobeWhiteRamp,blocks,Block,,日干しﾎﾜｲﾄ斜め,,Adobe White Ramp
adobeWhiteWedge,blocks,Block,,日干しﾎﾜｲﾄｳｪｯｼﾞ,,Adobe White Wedge
adobeWhiteWedgeTip,blocks,Block,,日干しﾎﾜｲﾄｳｪｯｼﾞ先端,,Adobe White Wedge Tip
alphabetLetterSignGroupDesc,blocks,Block,,この文字看板（Sign）グループであなただけのビルボードを作成してください。\n鉄から簡単にクラフトできます。,,Create your own billboards with these single letter signs.
awningRedBlock,blocks,Block,,紅ﾃﾝﾄﾌﾞﾛｯｸ,,Awning Red
awningRedRamp,blocks,Block,,紅ﾃﾝﾄ斜め,,Awning Red Ramp
awningTanBlock,blocks,Block,,ﾃﾝﾄﾌﾞﾛｯｸ,,Awning Tan Block
awningTanRamp,blocks,Block,,ﾃﾝﾄ斜め,,Awning Tan Ramp
barbedFence,blocks,Block,,鉄条網,,Barbed Wire Fence
barbedFenceDesc,blocks,Block,,木と鋳造鉄から作られる鉄条網（barbed fence）は、敵の侵攻を抑えることができます。遅くなった彼らの対処は容易いでしょう。右クリックで設置できます。,,"Barbed wire fences made from wood and forged iron can slow down enemies, making them easier to deal with. Place them by using the secondary action."
barnWoodBlock,blocks,Block,,納屋木材ﾌﾞﾛｯｸ,,Barnwood
bed01,blocks,Block,,ベッド,,An Old Bed
bedGroupDesc,blocks,Block,,ベッド(bed)グループを設置すると、あなたが死んだ時にその場所、またはその近くからリスポーンできます。\nある程度空間が空いていないと正しく復活出来ない場合があるので注意してください。,,Placing it on the ground will let you spawn there when you die and then show the spot on your map.
bed01Frame,blocks,Block,,鉄製ベッドフレーム,,Iron Bed Frame
bed02,blocks,Block,,キングサイズベッド,,King Size Bed
bedroll,blocks,Block,,寝袋,,Bedroll
bedRoll01_1,blocks,Block,,寝袋,,Bedroll
boardedWindowsSheet4,blocks,Block,,ｳｨﾝﾄﾞｳﾎﾞｰﾄﾞ,,Window Boards
brickBlock,blocks,Block,,ﾚﾝｶﾞﾌﾞﾛｯｸ,,Bricks
brickDecayedBlock,blocks,Block,,風化した色合いのレンガ,,Decayed Brick
brickGroupDesc,blocks,Block,,レンガ（brick）グループは適当な防御力を提供してくれます。あとでコンクリート壁にアップグレードできます。,,Brick walls offer decent protection and can be upgraded to concrete later.
brickPaversBlock,blocks,Block,,舗装ﾚﾝｶﾞ,,Brick Pavers
brickPaversStairs25,blocks,Block,,舗装ﾚﾝｶﾞ階段,,Brick Pavers Stairs
brickRamp,blocks,Block,,ﾚﾝｶﾞ斜めﾌﾞﾛｯｸ,,Brick Ramp
brickCNRFull,blocks,Block,,ﾚﾝｶﾞ外ｺｰﾅｰ,,Brick Full Corner
brickCNRInside,blocks,Block,,ﾚﾝｶﾞｺｰﾅｰ,,Brick Inside Corner
brickCNRRamp,blocks,Block,,ﾚﾝｶﾞ斜めｺｰﾅｰ,,Brick Ramp Corner
brickPlate,blocks,Block,,ﾚﾝｶﾞ厚板,,Brick Plate
brownGrassDiagonal,blocks,Block,,枯れかけ草,,Grass
burningBarrel,blocks,Block,,ドラム缶灯り,,Burning Barrel
cabinFlagstoneRamp,blocks,Block,,敷石キャビン斜め,,Flagstone Cabin Ramp
camoNetBlock,blocks,Block,,迷彩ﾈｯﾄﾌﾞﾛｯｸ,,Camo Netting Block
camoNetCNRFull,blocks,Block,,迷彩ﾈｯﾄｺｰﾅｰ,,Camo Netting Corner
camoNetRamp,blocks,Block,,迷彩ﾈｯﾄ斜め,,Camo Netting Ramp
camoNetSheet,blocks,Block,,迷彩ﾈｯﾄ,,Camo Netting
candleWall,blocks,Block,,ロウソク,,Candle
candleTable,blocks,Block,,ロウソク,,Candle
chair01,blocks,Block,,イス,,Old Chair
clayRoofGroupDesc,blocks,Block,,粘土で作るレンガ（clay roof）グループはあなたを雨または雪から保護してくれます。,,A clay roof will protect you from the rain or snow.
clayRoofBlock,blocks,Block,,耐火ﾚﾝｶﾞﾌﾞﾛｯｸ,,Clay Roof Block
clayRoofRamp,blocks,Block,,耐火ﾚﾝｶﾞ斜め,,Clay Roof Ramp
clayRoofCNRFull,blocks,Block,,耐火ﾚﾝｶﾞ外ｺｰﾅｰ,,Clay Roof Full Corner
clayRoofCNRInside,blocks,Block,,耐火ﾚﾝｶﾞ内ｺｰﾅｰ,,Clay Roof Inside Corner
coalOre,blocks,Block,,石炭,,Coal Ore
cobblestoneStairs25,blocks,Block,,玉石階段,,Cobblestone Stairs
cobblestoneStairs25Desc,blocks,Block,,アップグレードするとコンクリートになります。,,Can be upgraded to concrete.
cobweb,blocks,Block,,クモの巣,,Cobweb
cobwebDesc,blocks,Block,,クモの巣です。この世界がＭａｒｖｅｌ世界だったら何か意味があったのに。,,A cobweb made by a spider. If this was Marvel it might mean something.
commercialDoor1_v1,blocks,Block,,店舗用ドア 1,,Commercial Door 1
commercialDoor2_v1,blocks,Block,,店舗用ドア 2,,Commercial Door 2
commercialDoor3_v1,blocks,Block,,店舗用ドア 3,,Commercial Door 3
commercialDoor4_v1,blocks,Block,,店舗用ドア 4,,Commercial Door 4
concreteBlock,blocks,Block,,ｺﾝｸﾘｰﾄﾌﾞﾛｯｸ,,Concrete Block
